file,$Unique,name,$Subtitle,$CardClass,$CardClass2,$CardClass3,$ResourceCost,$Level,$Slot,$Slot2,$Stamina,$Sanity,$Skill1,$Skill2,$Skill3,$Skill4,$Skill5,$Skill6,$Copyright,$Traits,$Rules,$Flavor,$Victory,portSource,portScale,portX,portY,$Artist,$Collection,$CollectionNumber
致命打擊 [Guardian][skill],,致命打擊,,Guardian,None,None,0,0,None,None,None,None,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通.,如果攻擊期間的這次技能檢定成功，則該次攻擊造成+1傷害。,"
大斧砸在肉上，發出令人作嘔的響聲，他停不住地反覆打擊著那個怪物，直到它再也無法動彈為止。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01025.png,1.25,0,75,JB Casacop,CoreSet,25
推理 [Seeker][skill],,推理,,Seeker,None,None,0,0,None,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通.,如果調查一個地點時本技能檢定成功，額外發現該地點的1個線索。,"
我就知道我看過這個符號。我現在通知其他人還為時不晚！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01039.png,1.25,0,75,Felicia Cano,CoreSet,39
機會主義者 [Rogue][skill],,機會主義者,,Rogue,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,"只能在你執行的技能檢定中投入。
如果你成功且超過難度至少3點，在檢定後不丟棄機會主義者，改為將其返回你的手牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01053.png,1.25,0,75,Rafał Hrynkiewicz,CoreSet,53
無所畏懼 [Mystic][skill],,無所畏懼,,Mystic,None,None,0,0,None,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,如果該次技能檢定成功，治癒1點恐懼。,"
只有在黑暗面前站穩腳步，才能看到明天的太陽。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01067.png,1.25,0,75,RJ Palmer,CoreSet,67
求生本能 [Survivor][skill],,求生本能,,Survivor,None,None,0,0,None,None,None,None,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,如果躲避嘗試期間這次技能檢定成功，躲避的調查員可以立即和每個與其交戰的其他敵人解除交戰，並可以移動到一個連接地點。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01081.png,1.25,0,75,David Auden Nash,CoreSet,81
膽識 [Neutral][skill],,膽識,,Neutral,None,None,0,0,None,None,None,None,Willpower,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌。","
退後！我會搞定的。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01089.png,1.25,0,75,Clark Huggins,CoreSet,89
洞察力 [Neutral][skill],,洞察力,,Neutral,None,None,0,0,None,None,None,None,Intellect,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌。","
總算找到了！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01090.png,1.25,0,75,Andreia Ugrai,CoreSet,90
壓制 [Neutral][skill],,壓制,,Neutral,None,None,0,0,None,None,None,None,Combat,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌。","
去死吧，你這個怪物！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01091.png,1.25,0,75,Jose Vega,CoreSet,91
心靈手巧 [Neutral][skill],,心靈手巧,,Neutral,None,None,0,0,None,None,None,None,Agility,Agility,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌。","
易如反掌。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01092.png,1.25,0,75,Priscilla Kim,CoreSet,92
絕處逢生 [Neutral][skill],,絕處逢生,,Neutral,None,None,0,0,None,None,None,None,Wild,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,每次技能檢定最多投入1張。,"
有時候，最危險的情況反而能激發人的奉獻精神。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01093.png,1.25,0,75,Dleoblack,CoreSet,93
逆反 [Mystic][skill],,逆反,,Mystic,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,在你為這次檢定抽取混亂標記前，選擇下列一個符號：(<sku>、<cul>、<tab>或<mon>)。在這次檢定中，忽略所選符號的效果(包括其修正值)。,"
""不。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02190.png,1.25,0,75,Nicholas Gregory,TheDunwichLegacy,190
隨機應變 [Survivor][skill],,隨機應變,,Survivor,None,None,0,0,None,None,None,None,Wild,Wild,Wild,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,只能在你執行的技能檢定中投入，且該檢定難度必須比你基礎技能值高出至少2點。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02192.png,1.25,0,75,Clark Huggins,TheDunwichLegacy,192
賭一把 [Rogue][skill],,賭一把,,Rogue,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運.,"每次技能檢定最多投入1張。
將該次檢定難度加倍。如果檢定成功，結算勝利效果兩次。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02026.png,1.25,0,75,Mark Molnar,TheDunwichLegacy,26
致命打擊 (2) [Guardian][skill],,致命打擊,,Guardian,None,None,0,2,None,None,None,None,Combat,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通. 專家.,如果攻擊中的這次技能檢定成功，則該次攻擊造成+1傷害(如果超過難度至少2點，改為造成+2傷害)。,"
大斧砸在肉上，發出令人作嘔的響聲，他停不住地反覆打擊著那個怪物，直到它再也無法動彈為止。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02299.png,1.25,0,75,JB Casacop,TheDunwichLegacy,299
推理 (2) [Seeker][skill],,推理,,Seeker,None,None,0,2,None,None,None,None,Intellect,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通. 專家.,如果調查一個地點時本技能檢定成功，額外發現該地點的1個線索(如果超過難度至少2點，改為額外發現2個線索)。,"
我就知道我看過這個符號。我現在通知其他人還為時不晚！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02150.png,1.25,0,75,Felicia Cano,TheDunwichLegacy,150
追根究底 [Seeker][skill],,追根究底,,Seeker,None,None,0,0,None,None,None,None,Wild,Wild,Wild,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,你所在地點必須有至少1個線索，你才能在技能檢定中投入該卡。,"
敏而好事，不恥下問。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02227.png,1.25,0,75,Andreia Ugrai,TheDunwichLegacy,227
思維敏捷 [Rogue][skill],,思維敏捷,,Rogue,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性.,如果該技能檢定超過難度至少2點，在完成結算後，你可以立刻進行一個行動，如同在你的回合中(該行動不計入你每回合可進行的行動數)。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02229.png,1.25,0,75,David Auden Nash,TheDunwichLegacy,229
機會主義者 (2) [Rogue][skill],,機會主義者,,Rogue,None,None,0,2,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性. 熟練.,"只能在你執行的技能檢定中投入。
如果你成功且超過難度至少2點，在檢定後不丟棄機會主義者，改為將其返回你的手牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02231.png,1.25,0,75,Rafał Hrynkiewicz,TheDunwichLegacy,231
求生本能 (2) [Survivor][skill],,求生本能,,Survivor,None,None,0,2,None,None,None,None,Agility,Agility,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性. 熟練.,如果躲避嘗試期間這次技能檢定成功，躲避的調查員可以立即躲避與其交戰的每個其他敵人，並可以移動到一個連接地點。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02235.png,1.25,0,75,David Nash,TheDunwichLegacy,235
領導力 [Guardian][skill],,領導力,,Guardian,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通.,當領導力被投入另一位調查員的技能檢定時，領導力獲得<wil><wild>。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02260.png,1.25,0,75,Jeff Lee Johnson,TheDunwichLegacy,260
無所畏懼 (2) [Mystic][skill],,無所畏懼,,Mystic,None,None,0,2,None,None,None,None,Willpower,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性. 熟練.,如果該次檢定成功，治癒1點恐懼(如果超過難度至少2點，則改為治癒2點恐懼)。,"
只有在黑暗面前站穩腳步，才能看到明天的太陽。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02268.png,1.25,0,75,RJ Palmer,TheDunwichLegacy,268
鴻運當頭 (2) [Survivor][skill],,鴻運當頭,,Survivor,None,None,0,2,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",天性. 幸運.,"只能在你執行的技能檢定中投入。
在該次檢定抽出混亂標記後，你可以放逐鴻運當頭。如果你這麼做，該次檢定自動成功(除非抽出<ten>標記)。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02271.png,1.25,0,75,Tiziano Baracchi,TheDunwichLegacy,271
防禦姿態 (1) [Guardian][skill],,防禦姿態,,Guardian,None,None,0,1,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",精通. 專家.,只要防禦姿態在你手中或被投入到技能檢定中，其獲得等於你<agi>的<com>圖標，以及等於你<com>的<agi>圖標。,"
你邁開步伐，架好姿勢、深吸一口氣，站穩了身子，周圍敵人無數，而你孤身一人。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08024.png,1.25,0,75,Lin Hsiang,EdgeOfTheEarthInv,24
地區勘測 (1) [Seeker][skill],,地區勘測,,Seeker,None,None,0,1,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",精通. 專家.,只要地區勘測在你手中或被投入到技能檢定中，其獲得等於你<agi>的<int>圖標，以及等於你<int>的<agi>圖標。,"
不拍進相片上就沒有人會相信你。該死，就算拍了還是不會有人相信你。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08037.png,1.25,0,75,Nicole Cardiff,EdgeOfTheEarthInv,37
行業專家 (1) [Rogue][skill],,行業專家,,Rogue,None,None,0,1,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",天性. 熟練.,行業專家獲得等於(除正在檢定的技能外)你最低技能值的<wild>圖標。,"
五十分的運氣，一百分的實力。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08052.png,1.25,0,75,Sarah Finnigan,EdgeOfTheEarthInv,52
密教理論 (1) [Mystic][skill],,密教理論,,Mystic,None,None,0,1,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",精通. 專家.,只要密教理論在你手中或被投入到技能檢定中，其獲得等於你<int>的<wil>圖標，以及等於你<wil>的<int>圖標。,"
知識一旦匱乏，信仰便足以。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08065.png,1.25,0,75,Mark Bulahao,EdgeOfTheEarthInv,65
人多力量大 (1) [Survivor][skill],,人多力量大,,Survivor,None,None,0,1,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",天性. 協作.,你控制的卡牌之中每有一個不同的職階，人多力量大獲得一個<wild>圖標。,"
""可以在後方掩護我嗎？其實前方也需要你掩護。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08077.png,1.25,0,75,Yoann Boissonnet,EdgeOfTheEarthInv,77
無畏精神 (1) [Survivor][skill],,無畏精神,,Survivor,None,None,0,1,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",天性. 熟練.,只要無畏精神在你手中或被投入到技能檢定中，其獲得等於你<com>的<wil>圖標，以及等於你<wil>的<com>圖標。,"
今天正漸入佳境。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08078.png,1.25,0,75,Brian Valenzuela,EdgeOfTheEarthInv,78
淨化 [Guardian][skill],,淨化,,Guardian,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",天性. 祝福.,"每次技能檢定最多投入1張。
你可以在任何類型的檢定中投入淨化。
如果這次檢定成功，你每超過難度1點(最多5點)，加入1個<ble>標記到混亂袋，或從混亂袋移除1個<cur>標記。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10029.png,1.25,0,75,Cristina Vela,fhvp,29
強健雙臂 (1) [Guardian][skill],,強健雙臂,,Guardian,None,None,0,1,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",天性.,使用<b><i>近戰</i></b>或<b><i>遠程</i></b>支援卡的攻擊中投入強健雙臂的時候，這次攻擊造成+1傷害。這次技能檢定抽出混亂標記後，你可以受到1點傷害來取消該一個混亂標記，將其放回混亂袋，並抽出一個新的標記。<i>(你可以執行任意次。)</i>,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10031.png,1.25,0,75,João Bosco,fhvp,31
資金充裕 [Seeker][skill],,資金充裕,,Seeker,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",幸運.,你控制<b><i>科學</i></b>或<b><i>工具</i></b>支援卡的時候，資金充裕獲得<wild>(你控制3個以上的<b><i>科學</i></b>和/或<b><i>工具</i></b>支援卡的時候，資金充裕改為獲得<wild><wild>)。,"
花在這個研究上的每分錢都值得。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10051.png,1.25,0,75,Pixoloid Studios,fhvp,51
奇詭手法 (1) [Seeker][skill],,奇詭手法,,Seeker,None,None,0,1,None,None,None,None,Wild,Wild,Wild,Wild,None,None,"<family ""Arial""><cop> 2024 FFG</family>",精通. 詛咒縈繞.,在這次技能檢定結束後，執行檢定的調查員每成功且超過難度1點，或每失敗且低於難度1點，就加入1個<cur>標記到混亂袋。,"
有傳言說大學裡最後一位顱像學教授擁有長的不自然的任期。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10055.png,1.25,0,75,G Portal,fhvp,55
極糟的運氣 [Rogue][skill],,極糟的運氣,,Rogue,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",幸運. 詛咒縈繞.,在你執行的技能檢定期間抽出<cur>標記時，你可以從你的手牌中投入極糟的運氣到該技能檢定。如果你這麼做，極糟的運氣獲得<wild><wild><wild>。,"
""修格斯，為什麼每次都是修格斯？""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10075.png,1.25,0,75,Darren Tan,fhvp,75
身輕如燕 [Rogue][skill],,身輕如燕,,Rogue,None,None,0,0,None,None,None,None,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",精通. 技巧.,如果躲避期間這次技能檢定成功，你可以自動躲避你所在地點的另一名敵人。,"
""我從沒見過那種惡魔，也從來沒跑得像今晚這麼快過。希望我不會再遇到這種事。""
-<i>—麗塔‧楊，《詭鎮奇談》調查員</i>",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10076.png,1.25,0,75,Lin Hsiang,fhvp,76
受詛者 [Mystic][skill],,受詛者,,Mystic,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",天性. 詛咒縈繞.,在你投入受詛者到技能檢定時，加入最多3個<cur>標記到混亂袋。這次技能檢定期間，將每個抽出的<cur>標記的修正值視為0。,"
並非所有的流浪者都是因為迷失路途。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10095.png,1.25,0,75,David Hovey,fhvp,95
醉人誘引 (1) [Mystic][skill],,醉人誘引,,Mystic,None,None,0,1,None,None,None,None,Willpower,Wild,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",精通.,投入此卡牌到技能檢定的時候，執行的調查員可以忽略這次檢定期間將要觸發的所有關鍵詞或地點效果。,"
幻夢的識海跟任何海洋一般深沉。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10096.png,1.25,0,75,Daniel Watson,fhvp,96
百步穿楊 [Survivor][skill],,百步穿楊,,Survivor,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",精通.,"你可以投入百步穿楊到你所在地點或連接地點對敵人的攻擊或躲避檢定。
如果這次檢定成功，對該敵人造成1點傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10116.png,1.25,0,75,Carlos Palma Cruchaga,fhvp,116
毅力 (1) [Survivor][skill],,毅力,,Survivor,None,None,0,1,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",天性.,你可以從你的棄牌堆將毅力投入到技能檢定。如果你這麼做，在這次檢定結束後將其混洗入你的牌堆。,"
""任何人都可能沉迷其中並失去理智，除了專心致志的農夫……""—H.P.洛夫克拉夫特，<u>《星之彩》</u>",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10118.png,1.25,0,75,Tiziano Baracchi,fhvp,118
神佑 (2) [Survivor][skill],,神佑,,Survivor,None,None,0,2,None,None,None,None,Combat,Willpower,Wild,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",天性. 祝福.,如果這次技能檢定成功，你每有1點傷害或恐懼(取其中較低的數值)，加入1個<ble>標記到混亂袋。,"
面對潛伏的恐懼，勇氣是你最好的防禦。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10125.png,1.25,0,75,Yoann Boissonnet,fhvp,125
衣著華麗 [Neutral][skill],,衣著華麗,,Neutral,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",精通. 幸運.,在談判行動期間投入衣著華麗到技能檢定的時候，其獲得<wild><wild><wild>。,"
人要衣裝。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10130.png,1.25,0,75,Andreia Ugrai,fhvp,130
洞察力 (2) [Seeker][skill],,洞察力,,Seeker,None,None,0,2,None,None,None,None,Intellect,Intellect,Intellect,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通. 專家.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌(如果超過難度至少2點，改為抽取2張卡牌)。","
總算找到了！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60228.png,1.25,0,75,Andreia Ugrai,CoreSet,28
先見之明 [Mystic][skill],,先見之明,,Mystic,None,None,0,0,None,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",精通. 預言.,"每次技能檢定最多投入1張。
在你將先見之明投入到技能檢定後，聲明""雙數""、""單數""或""符號""。在這次檢定結束後，如果這次檢定中抽出了聲明類型的混亂標記，你可以將你棄牌堆的一張<b><i>法術</i></b>卡返回手牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60419.png,1.25,0,75,Magali Villeneuve,JacquelineFine,19
膽識 (2) [Mystic][skill],,膽識,,Mystic,None,None,0,2,None,None,None,None,Willpower,Willpower,Willpower,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",天性. 熟練.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌(如果超過難度至少2點，改為抽取2張卡牌)。","
退後！我會搞定的。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60424.png,1.25,0,75,Clark Huggins,JacquelineFine,24
壓制 (2) [Guardian][skill],,壓制,,Guardian,None,None,0,2,None,None,None,None,Combat,Combat,Combat,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",精通. 專家.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌(如果超過難度至少2點，改為抽取2張卡牌)。","
去死吧，你這個怪物！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60126.png,1.25,0,75,Jose Vega,NathanielCho,26
絕處逢生 (2) [Survivor][skill],,絕處逢生,,Survivor,None,None,0,2,None,None,None,None,Wild,Wild,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",天性. 熟練.,"每次技能檢定最多投入1張。
如果這次檢定失敗，將絕處逢生返回你的手牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60526.png,1.25,0,75,Dleoblack,StellaClark,26
身手矯捷 [Rogue][skill],,身手矯捷,,Rogue,None,None,0,0,None,None,None,None,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",天性.,這次技能檢定成功且每超過難度1點，在本次檢定結算後你可以立即移動到一個連接地點(最多移動3次)。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60317.png,1.25,0,75,David Auden Nash,WinifredHabbamock,17
虎口拔牙 [Rogue][skill],,虎口拔牙,,Rogue,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",幸運. 精通.,在你將虎口拔牙投入到技能檢定後，從你牌堆頂部棄牌，直到丟棄一張可以投入這次檢定的<rog>技能卡。將其投入。將本效果中丟棄的所有弱點卡洗回你的牌堆。,"
""你是個瘋子，溫妮！""
""我知道！這難道不是件好事嗎？""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60318.png,1.25,0,75,Borja Pindado,WinifredHabbamock,18
心靈手巧 (2) [Rogue][skill],,心靈手巧,,Rogue,None,None,0,2,None,None,None,None,Agility,Agility,Agility,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",天性. 熟練.,"每次技能檢定最多投入1張。
如果這次技能檢定成功，抽取1張卡牌(如果超過難度至少2點，改為抽取2張卡牌)。","
易如反掌。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60325.png,1.25,0,75,Priscilla Kim,WinifredHabbamock,25
學人精 (3) [Rogue][skill],,學人精,,Rogue,None,None,0,3,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",局勢.,在你將學人精投入到技能檢定後，在另一位調查員的棄牌堆中查找並投入一張你能夠投入到這次檢定中的技能卡。這次檢定結束後，將該卡放到其所有者的牌堆底部。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60330.png,1.25,0,75,Aleksander Karcz,WinifredHabbamock,30
放馬過來！ [Survivor][skill],,"""放馬過來！""",,Survivor,None,None,0,0,None,None,None,None,Agility,Combat,Willpower,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",天性.,"你與敵人交戰時才可投入技能檢定。
你每與一個敵人交戰，""放馬過來！""獲得<wil><com><agi>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03272.png,1.25,0,75,Aurore Folny,ThePathToCarcosa,272
遠古印記封印 (5) [Mystic][skill],,遠古印記封印,,Mystic,None,None,0,5,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",法術. 專家.,"本次檢定中不要從混亂袋中抽取混亂標記。本次檢定抽出的混亂標記視為<eld>。
在本次檢定結束時，從遊戲中移除遠古印記封印。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03312.png,1.25,0,75,David Demaret,ThePathToCarcosa,312
臨危禱告 [Neutral][skill],,臨危禱告,,Neutral,None,None,0,0,None,None,None,None,Willpower,Willpower,Willpower,Willpower,None,None,"<family ""Arial""><cop> 2017 FFG</family>",絕望.,"每次技能檢定最多投入1張。
你剩餘神智值為3點或更少時才可投入技能檢定。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03116.png,1.25,0,75,Melissa Findley,ThePathToCarcosa,116
冥思苦想 [Neutral][skill],,冥思苦想,,Neutral,None,None,0,0,None,None,None,None,Intellect,Intellect,Intellect,Intellect,None,None,"<family ""Arial""><cop> 2017 FFG</family>",絕望.,"每次技能檢定最多投入1張。
你剩餘神智值為3點或更少時才可投入技能檢定。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03117.png,1.25,0,75,Cristina Vela,ThePathToCarcosa,117
